autor,titulo,año,carrera
"Anzorena Martínez, Inés Alejandra,",Cuerpo y territorio :un estudio sobre el Centro Cultural Tijuana y el Centro Cultural del Bosque (CDMX),2021,Literatura Dramática y Teatro
"Arias Martínez, Diego Olaf,",Teatro y mercadotecnia digital :fundamentos y una propuesta de aplicación para la difusión teatral,2021,Literatura Dramática y Teatro
"Ávila Saulés, Daniel Alejandro,",La ciencia ficción en la obra dramática Terraza con jardín infernal de Francisco Tario,2021,Literatura Dramática y Teatro
"Aguilar Gómez, Abraham,",Episodios sobrenaturales en las hagiografías sobre Jerónima de la Asunción :perfecta religiosa (1662) y exemplo de todas las virtudes y vida milagrosa de Geronyma de la Assumpcion (1713),2022,Literatura Intercultural
"Alanís Corral, Araceli María,",Primer libro de la alejandríada de Francisco Javier Alegre :traducción comentada,2021,Literatura Intercultural
"Bello Ángeles, Beatriz Cristina,",La identidad mexicana según la obra teatral Nuestra señora del hueso de Hugo Argüelles,2021,Literatura Intercultural
"Cerriteño Chávez, Karla Giovanna,",Contar lo vivido. Narrativas de la memoria en la ficción de la posdictadura chilena,2021,Literatura Intercultural
"Colunga López, Saúl,",La perspectiva como elemento interpretativo en la narrativa de Enter the void de Gaspar Noé,2021,Literatura Intercultural
"Guzmán Ortiz, Frida Citlalli,","Informe de los méritos de la Ciudad de Tlaxcala :edición, estudio y notas",2021,Literatura Intercultural
"Rico León, Patricia Georgina,","Vida, escritura y pensamiento :Los diarios filosóficos de José Gaos (1936-1958)",2021,Literatura Intercultural
"Cadenas León, Daniela,",Las cortesíadas de Juan Cortés Osorio :edición con estudio introductorio y notas de un poema épico español sobre la conquista de México,2020,Literatura Intercultural
"Cardoso Alvarado, Sandra Carolina,","Los japoneses y la religión católica en Japón :análisis de los textos de Francisco Javier, Alessandro Valignano y Rodrigo de Vivero (1548 a 1626)",2020,Literatura Intercultural
"Ortegajorda Sánchez, Johanna Javi,",Aproximaciones a Safo :quince fragmentos traducidos por José Emilio Pacheco,2020,Literatura Intercultural
"Patlán García, Nayeli Anaí,","Impactos en la dinámica atmosférica debido al cambio de uso de suelo asociado al crecimiento antropogénico en la Península de Yucatán, México",2022,Manejo Sustentable de Zonas Costeras
"Alcántara Torres, Luis Arturo,","Análisis del potencial ecoturístico de los arrecifes artificiales de Chabihau, Yucatán, México",2021,Manejo Sustentable de Zonas Costeras
"Ávila Mosqueda, Silvia Valery,","No todo lo que llega a la playa es sargazo :caracterización y potencial de aprovechamiento de los arribazones de macroalgas en Sisal, Uucatán",2021,Manejo Sustentable de Zonas Costeras
"Osnaya Miranda, Miguel Ángel,","Contribuciones biológicas, pesqueras y normativas para un ordenamiento pesquero deportivo-recreativo en la península de Yucatán",2021,Manejo Sustentable de Zonas Costeras
"Avalos Morales, Luis Octavio,",Distribución potencial de las aves costeras del atlántico mexicano para determinar zonas prioritarias de conservación,2020,Manejo Sustentable de Zonas Costeras
"González Sánchez, Nancy Pamela,","Análisis de la pesca recreativa en los muelles de la costa de Yucatán, elementos para su manejo",2020,Manejo Sustentable de Zonas Costeras
"Ríos Contreras, Karen,",Los microorganismos como indicadores de la calidad ambiental en cuerpos de agua de uso turístico en la Península de Yucatán :una propuesta de manejo en el contexto de la política ambiental,2020,Manejo Sustentable de Zonas Costeras
"Cervantes Pichardo, Alexis,",Análisis interdisciplinario de los procesos de contaminación del agua subterránea en el noreste de Yucatán,2019,Manejo Sustentable de Zonas Costeras
"Gallegos Jaimes, Luis Ángel,",Metales y arsénico en la Zona Metropolitana de Mérida (ZMM) :uso de un sistema de información geográfica (SIG) para evaluación de la presión ambiental (riesgo potencial),2019,Manejo Sustentable de Zonas Costeras
"Martínez Cerda, Rosa Elena,","Efecto de la hormona GnRHa y pimozide sobre la producción de esperma en machos de robalo blanco Centropomus undecimalis (BLOCH, 1792)",2019,Manejo Sustentable de Zonas Costeras
"Cruz Colín, Zayra Eugenia,",Estudio de los grupos ortocéntricos de puntos,2022,Matemáticas
"Giral Barajas, José,",Modelo epidemiológico probabilista con microdinámicas y tiempo reverso,2022,Matemáticas
"Hernández Alvarado, Ángel Jonathan,","Sistema de gestión de la calidad para la unidad de talleres, laboratorios y audiovisuales de la Facultad de Estudios Superiores Acatlán",2022,Matemáticas
"Lechuga Ramos, Jessica,",Algoritmos genéticos para la optimización de cifrado de imágenes mediante sistemas caóticos,2022,Matemáticas
"León Rodríguez, Eduardo,",Una introducción a la cohomología inducida por comónadas,2022,Matemáticas
"Manríquez Castillo, Roberto,","Introducción a las funciones elípticas, enfoque de Lipman Bers",2022,Matemáticas
"Martínez Cantú, César Osvaldo,",Análisis bioinformático para la identificación de genes expresados diferencialmente en la progresión del carcinoma hepatocelular,2022,Matemáticas
"Mendoza Dimas, José Manuel,",Una construcción geométrica de clases características,2022,Matemáticas
"Montiel Gracida, Mitzi Dayana,",Teoría de gráficas y su aplicación para resolver problemas prácticos,2022,Matemáticas
"Santana Plascencia, Fernando,",La dinámica caótica de la función F(z)=z&nbsp;2-2conj(z) en ciertos subconjuntos invariantes del plano complejo,2022,Matemáticas
"Hernández Alvarado, Ángel Jonathan,","Sistema de gestión de la calidad para la unidad de talleres, laboratorios y audiovisuales de la Facultad de Estudios Superiores Acatlán",2022,Matemáticas Aplicadas
"Lechuga Ramos, Jessica,",Algoritmos genéticos para la optimización de cifrado de imágenes mediante sistemas caóticos,2022,Matemáticas Aplicadas
"Martínez Cantú, César Osvaldo,",Análisis bioinformático para la identificación de genes expresados diferencialmente en la progresión del carcinoma hepatocelular,2022,Matemáticas Aplicadas
"Antonio Rojas, Alexis David,",Pronóstico para la producción de metano en un sistema de extracción forzada de biogás,2021,Matemáticas Aplicadas
"Arenas Martínez, Amanda Rubí,",Control de la salud a través de la medicina deportiva utilizando un sistema basado en conocimiento y machine learning,2021,Matemáticas Aplicadas
"Callejas Hernández, Cipriano,",Controlabilidad de la ecuación de Poisson donde el control es el dominio de definición,2021,Matemáticas Aplicadas
"Flores Hernández, Juan Alberto,","Desarrollo de un portal web responsivo para el CEDAM iOS Lab de la FES Acatlán utilizando las tecnologías Flex, Git, Google Apps, JQuery, HTML, CSS y JavaScript",2021,Matemáticas Aplicadas
"Galván Sandoval, Diego Alexis,","Exploración y análisis espacial en elecciones locales :la medición y detección de los usos electorales del gasto social en la alcaldía de Coyoacán, Ciudad de México",2021,Matemáticas Aplicadas
"González Sevilla, Magdalena,",Estudio de la conciencia de la seguridad computacional en la FES Acatlán,2021,Matemáticas Aplicadas
"Sánchez Noguez, Josefina,",Estructuras de datos multi-dimensionales para cálculo numérico en CUDA C,2021,Matemáticas Aplicadas
"Hernández Alvarado, Ángel Jonathan,","Sistema de gestión de la calidad para la unidad de talleres, laboratorios y audiovisuales de la Facultad de Estudios Superiores Acatlán",2022,Matemáticas Aplicadas y Computación
"Lechuga Ramos, Jessica,",Algoritmos genéticos para la optimización de cifrado de imágenes mediante sistemas caóticos,2022,Matemáticas Aplicadas y Computación
"Martínez Cantú, César Osvaldo,",Análisis bioinformático para la identificación de genes expresados diferencialmente en la progresión del carcinoma hepatocelular,2022,Matemáticas Aplicadas y Computación
"Antonio Rojas, Alexis David,",Pronóstico para la producción de metano en un sistema de extracción forzada de biogás,2021,Matemáticas Aplicadas y Computación
"Arenas Martínez, Amanda Rubí,",Control de la salud a través de la medicina deportiva utilizando un sistema basado en conocimiento y machine learning,2021,Matemáticas Aplicadas y Computación
"Callejas Hernández, Cipriano,",Controlabilidad de la ecuación de Poisson donde el control es el dominio de definición,2021,Matemáticas Aplicadas y Computación
"Flores Hernández, Juan Alberto,","Desarrollo de un portal web responsivo para el CEDAM iOS Lab de la FES Acatlán utilizando las tecnologías Flex, Git, Google Apps, JQuery, HTML, CSS y JavaScript",2021,Matemáticas Aplicadas y Computación
"Galván Sandoval, Diego Alexis,","Exploración y análisis espacial en elecciones locales :la medición y detección de los usos electorales del gasto social en la alcaldía de Coyoacán, Ciudad de México",2021,Matemáticas Aplicadas y Computación
"González Sevilla, Magdalena,",Estudio de la conciencia de la seguridad computacional en la FES Acatlán,2021,Matemáticas Aplicadas y Computación
"Sánchez Noguez, Josefina,",Estructuras de datos multi-dimensionales para cálculo numérico en CUDA C,2021,Matemáticas Aplicadas y Computación
"Galicia López, Víctor Manuel,","Acreditación y promedio de calificación entre los examenes modulares tradicional y por aprendizaje basado en problemas, en la carrera de médico cirujano de la FES-Zaragoza, en 2012 y 2013",2021,Médico Cirujano
"Velázquez Garnica, Alejandra,",Factores que intervienen en la referencia de pacientes con aparente urgencia hipertensiva,2021,Médico Cirujano
"Reyes Tinoco, Ricardo,","Evaluación geronto - geriátrica integral en los adultos mayores que acuden al Centro de Desarrollo Comunitario Nueva San Miguel en el Municipio de Chalco, Estado de México",2019,Médico Cirujano
"Rodríguez López, Tony,",Zika en el primer trimestre de gestación en la poblacion de Monclova Coahuila,2019,Médico Cirujano
"Guevara García, Alma Nayeli,","Factores de riesgo asociados al fenómeno de no reflujo en pacientes con infarto agudo al miocardio en la Unidad de Medicina Crítica del Hospital Regional Licenciado Adolfo López Mateos, ISSSTE",2018,Médico Cirujano
"Oropeza Gamez, Miguel David,",Revisión bibliográfica sobre la importancia de la cuantificación de alcohol en humor vítreo en cadáveres de 20-35 años,2018,Médico Cirujano
"Rodríguez Díaz, Yadira Jhasue,",Factores que limitan la adherencia a la detección del cáncer de mama en la UMF nÂ°64 del IMSS,2018,Médico Cirujano
"Torres Vivanco, Omar Alejandro,",Estado nutricional de los adultos mayores ambulatorios en la localidad de Tinún en el estado de Campeche,2018,Médico Cirujano
"Alonzo Acevedo, Laura Karina,",Prevalencia del consumo de tabaco y su relación con la depresión en los estudiantes de primer año de la carrera de médico cirujano de la Facultad de Estudios Superiores Zaragoza en el 2017,2017,Médico Cirujano
"Azcárate Soto, Virginia,",Motivos por los cuales el paciente acude a un servicio de urgencias :encuesta en un hospital de tercer nivel de atención ISSSTE,2016,Médico Cirujano
"Alanís Sánchez, Andrea,","Tráfico ilegal de especies silvestres, situación actual en México en el 2021",2022,Medicina Veterinaria y Zootecnia
"Arroyo León, Erika,","Inmunoterapia en cáncer de perros y gatos :anticuerpos monoclonales como terapia complementaria, estudio de revisión",2022,Medicina Veterinaria y Zootecnia
"Baez Vazquez, Luis Rey,",Análisis de riesgo en el bienestar de conejo para el abasto,2022,Medicina Veterinaria y Zootecnia
"Cardoso Luna, Grecia Madeleine,",Efecto de la administración de un bacteriófago en el prechiller sobre el conteo de mesófilos y coliformes en canales de pollo de engorda,2022,Medicina Veterinaria y Zootecnia
"Casimiro Pineda, Cynthia Belén,",Tesina por trabajo profesional en el módulo de equinos del centro de enseñanza agropecuaria,2022,Medicina Veterinaria y Zootecnia
"Cervantes Apango, Abimael,","Reporte de prácticas profesionales en la Reserva de la Biosfera Calakmul, Campeche, durante los meses de febrero a agosto de 2019 :tapir centroamericano (Tapirus bairdii) : estudio de caso",2022,Medicina Veterinaria y Zootecnia
"Escalona Sarabia, Ana Luisa,",Utilidad de los modelos experimentales animales para evaluar el papel que los eicosanoides desempeñan en la tuberculosis humana :estudio de revisión,2022,Medicina Veterinaria y Zootecnia
"Flores Ramírez, Eunice Zurizadai,",Predicción del perfil detallado de ácidos grasos en leche por medio de espectroscopia infrarroja,2022,Medicina Veterinaria y Zootecnia
"García Mora, Luis Fernando,",Patologías de tejidos blandos y óseos en la articulación interfalángica proximal (cuartilla) del equino :estudio de revisión,2022,Medicina Veterinaria y Zootecnia
"García Sánchez, Ximena,",Relación entre hábitos alimenticios y presencia de microplásticos en el tracto gastrointestinal de individuos juveniles de tiburón martillo común Sphyrna lewini en el Golfo de California,2022,Medicina Veterinaria y Zootecnia
"Gaona Carranza, Axel Melchor,",Predicción de nuevos materiales aururos con estructura tipo perovskita doble,2021,Nanotecnología
"Lecanda Rodríguez, Rodrigo,",Síntesis y caracterización de nanovarillas de óxido de manganeso,2021,Nanotecnología
"Martínez Gómez, Luis Fernando,",Plasmones hiperbólicos en sistemas bidimensionales de DIRAC,2021,Nanotecnología
"Méndez Ávalos, Diana,",Entanglement harvesting of three unruh-dewitt detectors,2021,Nanotecnología
"Miranda Cortez, Patsy Arely,",Caracterización de la estructura electrónica del grafeno y óxido de grafeno depositados sobre la superficie (0001) del óxido de zinc por microscopía y espectroscopía túnel,2021,Nanotecnología
"Rodríguez Marino, Luis Ricardo,",Nanopartículas de plata como potenciales agentes para el tratamiento de leucemia,2021,Nanotecnología
"Blanco Salazar, Alberto,",Evaluación de citotoxicidad de nanopartículas de plata en cultivos primarios de ratones BALB/c,2020,Nanotecnología
"Cruz Ramírez, Omar Ulises,",Estudios preliminares para la aplicación de nanopartículas de plata en el tratamiento de cáncer de colon,2020,Nanotecnología
"González García, Ariadna,",Captura de dióxido de carbono y conversión a través de reformado seco de metano sobre NiO-Li4SiO4,2020,Nanotecnología
"Huerta Salcedo, Juan Antonio,",Fabricación y caracterización de sensor de oxígeno basado en películas delgadas,2020,Nanotecnología
